# Study Name: Ahlam-biopsies
# Study Description: 
# Study Comments: 
# Created By: GUEST
# Last Modified Date/Time: 09-20-2017 13:12:52 CEST
# Number of Experiments in Study: 26
# Instrument Type in the Study: QuantStudio™ 12K Flex Real-Time PCR System
# Barcode: 80004882 80004552 80004551 80004550 80004888 80004887 80004886 80004884 80004885 80004883 80004554 80004553 80004555 80004872 80004870 80004559 80004558 80004557 80004556 80004873 80004871 80004879 80004878 80004877 80004876 80004875 
# Normalization Method: Endogenous Control = [YWHAZ]
# Reference Biological Group: 0
# Max CT: 40.0
# Efficiency: [PYCRL = 100.0%  INADL = 100.0%  YWHAZ = 100.0%  ALDH18A1 = 100.0%  IL8 = 100.0%  PRODH_933 = 100.0%  DUSP8_712 = 100.0%  ABP1-AOC1 = 100.0%  FAM3A = 100.0%  IL15_562 = 100.0%  HPRT1 = 100.0%  GUSB_627 = 100.0%  PYCR1 = 100.0%  LAMB3 = 100.0%  DUSP3 = 100.0%  PYCR2 = 100.0%  DUSP1 = 100.0%  MGAM = 100.0%  GALC = 100.0%  TGM2 = 100.0%  IL15RA = 100.0%  TGFA = 100.0%  IL16_716 = 100.0%  TRAF6 = 100.0%]
# RQ Min/Max Calculation: Confidence Level = 95.0% 

Biological Group Name	Sample Name	Target Name	Amp Score	Cq Conf	Ct	Ct Mean	Adjusted Ct Mean	dCt Mean	dCt SE	RQ	RQ Min	RQ Max	P-Value	Auto Threshold	Threshold	Auto Baseline	Baseline Start	Baseline End	Omit
0	10069	PYCRL	1.267	0.986	31.517	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10069	PYCRL	1.253	0.989	31.610	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10078	ABP1-AOC1	0.974	0.991	27.245	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	24	
0	10078	ABP1-AOC1	0.981	0.986	27.428	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	24	
0	10074	PYCRL	1.316	0.990	27.051	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	22	
0	10074	PYCRL	1.315	0.989	27.020	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	23	
0	10075	PYCRL	1.310	0.987	28.227	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	24	
0	10075	PYCRL	1.303	0.986	28.755	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	24	
0	10077	ABP1-AOC1	1.029	0.984	23.479	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	20	
0	10077	ABP1-AOC1	1.036	0.992	23.444	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	20	
0	10072	PYCRL	1.260	0.994	27.616	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	23	
0	10072	PYCRL	1.269	0.991	27.438	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	23	
0	10076	ABP1-AOC1	1.092	0.984	23.395	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	20	
0	10076	ABP1-AOC1	1.077	0.940	23.690	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	21	
0	10073	PYCRL	1.261	0.986	32.493	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	29	
0	10073	PYCRL	1.250	0.986	32.125	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10075	ABP1-AOC1	1.103	0.981	24.197	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	21	
0	10075	ABP1-AOC1	1.106	0.949	23.970	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	21	
0	10078	PYCRL	1.232	0.985	29.589	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	26	
0	10078	PYCRL	1.234	0.993	29.695	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	26	
0	10079	PYCRL	1.247	0.976	29.245	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	25	
0	10079	PYCRL	1.256	0.987	29.709	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	26	
0	10076	PYCRL	1.317	0.964	28.421	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	25	
0	10076	PYCRL	1.314	0.982	28.599	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	25	
0	10079	ABP1-AOC1	0.994	0.976	27.057	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	24	
0	10079	ABP1-AOC1	0.985	0.963	27.569	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	24	
0	10077	PYCRL	1.270	0.990	27.902	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	24	
0	10077	PYCRL	1.279	0.968	27.932	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	24	
0	10070	ABP1-AOC1	1.022	0.988	28.228	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10070	ABP1-AOC1	1.026	0.991	27.970	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10070	PYCRL	1.264	0.975	30.999	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	27	
0	10070	PYCRL	1.283	0.987	30.937	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	27	
0	10074	ABP1-AOC1	1.109	0.987	22.438	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	19	
0	10074	ABP1-AOC1	1.101	0.932	22.681	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	20	
0	10071	PYCRL	1.233	0.983	32.734	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	29	
0	10071	PYCRL	1.210	0.973	32.759	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	29	
0	10073	ABP1-AOC1	1.013	0.984	30.859	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	28	
0	10073	ABP1-AOC1	1.001	0.985	30.941	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	28	
0	10072	ABP1-AOC1	1.042	0.917	24.922	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	22	
0	10072	ABP1-AOC1	1.043	0.985	24.895	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	22	
0	10071	ABP1-AOC1	0.984	0.964	31.159	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	28	
0	10071	ABP1-AOC1	1.005	0.988	31.377	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	28	
0	NTC	MGAM	0.000	0.000	Undetermined	26.293	26.293	-3.198	0.095	1.000	0.878	1.139	1.000	True	0.040	True	3	39	True
0	NTC	MGAM	0.000	0.000	Undetermined	26.293	26.293	-3.198	0.095	1.000	0.878	1.139	1.000	True	0.040	True	3	39	True
0	NTC	MGAM	0.000	0.000	Undetermined	26.293	26.293	-3.198	0.095	1.000	0.878	1.139	1.000	True	0.040	True	3	39	True
0	NTC	MGAM	0.000	0.000	Undetermined	26.293	26.293	-3.198	0.095	1.000	0.878	1.139	1.000	True	0.040	True	3	39	True
0	NTC	MGAM	0.000	0.000	Undetermined	26.293	26.293	-3.198	0.095	1.000	0.878	1.139	1.000	True	0.040	True	3	39	True
0	NTC	MGAM	0.000	0.000	Undetermined	26.293	26.293	-3.198	0.095	1.000	0.878	1.139	1.000	True	0.040	True	3	39	True
0	NTC	MGAM	0.000	0.000	Undetermined	26.293	26.293	-3.198	0.095	1.000	0.878	1.139	1.000	True	0.040	True	3	39	True
0	NTC	MGAM	0.000	0.000	Undetermined	26.293	26.293	-3.198	0.095	1.000	0.878	1.139	1.000	True	0.040	True	3	39	True
0	10058	PYCRL	1.288	0.989	30.010	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	25	
0	10058	PYCRL	1.293	0.989	29.606	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	26	
